procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  10364 179900   1772  12360    0    0   603    42   28  111  1  0 99  1  0	
 0  3  10364 179272   1952  12376    0    0   268     0  122  116  0  0 99  1  0	
 1  0  10364 118000   2104  73120    0    0 60892     0 1322 1251  9  0 88  4  0	
 1  2  10364  36284   2236 154720    0    0 75780     0 1551 1450 11  0 87  2  0	
 1  0  10364   6408    644 188320    0    0 67468    48 1780 1465 10  0 85  5  0	
 1  0  10364   6236    640 188460    0    0 76288     0 2088 1772 11  1 87  1  0	
 1  0  10364   6492    416 188504    0    0 76292     0 2128 1752 11  1 87  1  0	
 1  0  10364   5864    416 189152    0    0 76160     0 2067 1760 11  0 87  1  0	
 1  0  10364   6168    432 188264    0    0 55796  5988 1759 1363  8  0 86  6  0	
 1  0  10364   6556    436 187756    0    0 72712     0 1988 1724 10  0 87  2  0	
 0  1  10364   5664    444 188684    0    0 71040    44 1947 1657 10  0 87  2  0	
 1  0  10364   6060    444 188316    0    0 75632     0 2045 1754 11  0 87  1  0	
 1  0  10364   5812    444 188588    0    0 76160     0 2055 1739 11  0 88  1  0	
 1  0  10364   5916    452 188468    0    0 58292  5940 1801 1442  8  0 84  7  0	
 1  0  10364   6420    452 187964    0    0 67712     0 1982 1639 10  0 87  2  0	
 2  0  10364   6048    576 188352    0    0 70784     0 2042 1721 10  0 86  3  0	
 1  0  10364   6296    584 188056    0    0 70656    44 2057 1728 10  0 87  2  0	
 1  0  10364   6420    492 188048    0    0 74368     0 2147 1797 11  0 88  1  0	
 0  1  10364   6864    496 188008    0    0 64644  6056 2083 1552 10  0 86  4  0	
 1  0  10364   6148    640 188436    0    0 72388     0 2242 1988  9  0 84  7  0	
 1  0  10364   5776    640 188556    0    0 71940     0 2097 1743 11  0 87  2  0	
 1  0  10364   6272    516 188324    0    0 74368     0 2142 1784 11  0 87  1  0	
 1  0  10364   6272    524 187540    0    0 70016    40 2028 1696 10  0 87  2  0	
 0  1  10364   6380    524 187628    0    0 67200  5996 1985 1620 10  0 86  4  0	
 1  0  10364   5564    524 187900    0    0 70244     0 1965 1680 10  0 87  2  0	
 1  0  10364   5552    524 187916    0    0 74368     0 2022 1731 11  0 87  1  0	
 1  0  10364   5924    524 187668    0    0 74368     0 2025 1716 11  0 87  2  0	
 1  0  10364   5568    524 187828    0    0 73856     0 2036 1751 11  0 87  1  0	
 0  2  10364   4932    532 190196    0    0 68352  6060 1958 1617 10  0 86  3  0	
 0  1  10364   6492    532 188248    0    0 79844     0 2261 1936 10  0 86  4  0	
 1  0  10364   6624    532 188060    0    0 74240     0 2024 1717 11  0 87  1  0	
 1  0  10364   5996    532 188708    0    0 74368     0 2105 1769 11  1 87  1  0	
 1  0  10364   5508    532 189004    0    0 74368     0 2140 1776 11  0 87  1  0	
 1  0  10364   6076    532 188436    0    0 63232  6016 2005 1537  9  0 86  4  0	
 1  0  10364   5952    540 188496    0    0 70756    32 2090 1731 10  0 87  2  0	
 1  0  10364   6148    540 188368    0    0 74368     0 2145 1790 11  0 87  2  0	
 1  0  10364   5900    540 188620    0    0 74112     0 2138 1771 11  0 87  1  0	
 1  0  10364   5900    540 188684    0    0 74496     0 2152 1796 11  0 88  1  0	
 0  2  10364   5688    544 188984    0    0 64000  6056 1885 1549  9  1 86  4  0	
 1  0  10364   6352    552 188480    0    0 66916    32 1896 1664 10  0 88  2  0	
 1  0  10364   6400    560 187868    0    0 38912  6116 1262 1071  6  0 90  4  0	
 0  0  10364   6308    560 187868    0    0     0     0   78   82  0  0 100  0  0	
