procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  10364 182988    636  11560    0    0   612    42   28  111  1  0 99  1  0	
 0  3  10364 181972    908  11904    0    0   660     0  158  135  0  0 99  1  0	
 2  0  10364 118604    932  74280    0    0 62368     0 1383 20799  9  1 84  6  0	
 2  0  10364  40980    940 151916    0    0 71808    36 1508 24983 11  1 83  5  0	
 2  0  10364   6720    308 186600    0    0 76288     0 1692 26148 11  1 83  5  0	
 1  0  10364   5740    296 187012    0    0 76288     0 2062 25625 11  1 83  5  0	
 1  1  10364   5596    296 187208    0    0 76288     0 2199 25021 11  1 83  5  0	
 1  0  10364   6096    296 186728    0    0 76160     0 2138 25004 11  1 83  6  0	
 1  1  10364   5568    320 188060    0    0 56060 11928 2383 21031  9  1 81 10  0	
 1  0  10364   6196    324 187196    0    0 61440     4 1495 22476  8  0 83  9  0	
 2  0  10364   6068    324 187320    0    0 75392     0 2118 24832 11  1 83  6  0	
 0  1  10364   6076    324 187532    0    0 76272     0 2127 25004 11  1 83  6  0	
 1  1  10364   6316    324 187140    0    0 76288     0 2135 24979 11  1 83  6  0	
 1  1  10364   6440    472 186752    0    0 66928    32 1934 23835 10  1 83  7  0	
 1  1  10364   6328    472 186812    0    0 75520     0 1697 27868 12  1 84  4  0	
 1  1  10364   5952    372 187340    0    0 74368     0 1707 23415 11  1 83  6  0	
 1  0  10364   6532    372 187420    0    0 61312  6052 1865 20099  9  1 83  7  0	
 1  0  10364   6044    372 187776    0    0 74368     0 2055 22024 11  0 82  6  0	
 2  0  10364   6356    384 187292    0    0 66920    32 1882 20697 10  1 83  7  0	
 1  1  10364   6288    384 187224    0    0 74496     0 2064 23164 11  0 83  6  0	
 1  1  10364   6160    384 187232    0    0 74368     0 2062 22089 11  1 82  6  0	
 1  1  10364   5868    384 187664    0    0 74368     0 2060 22089 11  0 82  6  0	
 1  0  10364   6668    384 186648    0    0 69704     0 1934 21003 10  1 82  8  0	
 1  2  10364   6392    388 187480    0    0 61952  6016 1976 19411  9  1 80 10  0	
 1  0  10364   6312    392 186372    0    0 71784     4 2204 26613 11  1 84  5  0	
 1  1  10364   6404    392 186492    0    0 74368     0 2271 24455 11  1 83  5  0	
 2  0  10364   6560    392 187232    0    0 61312  6040 1981 20588  9  1 82  8  0	
 1  1  10364   5680    392 188136    0    0 73856     0 2171 23879 11  1 83  6  0	
 2  1  10364   5804    392 187716    0    0 71372     0 2122 22854 11  1 82  6  0	
 2  0  10364   5700    400 187364    0    0 67556    32 2071 23496 10  1 84  6  0	
 2  0  10364   6556    400 186532    0    0 74368     0 2251 24030 11  1 82  6  0	
 2  0  10364   6184    400 186796    0    0 74368     0 2216 23921 11  1 83  6  0	
 3  1  10364   5824    400 187164    0    0 74368     0 2234 24009 11  0 83  6  0	
 1  2  10364   6544    400 186864    0    0 66304  6016 2157 21987 10  1 82  7  0	
 1  0  10364   5684    408 187816    0    0 70400    24 1880 24084 10  1 83  6  0	
 1  0  10360   6064    664 187080    0    0 65916    48 1883 19883 10  1 83  7  0	
 1  0  10360   5968    656 187528    0    0 61312  6056 1924 18882  9  1 82  8  0	
 1  0  10360   6708    428 187044    0    0 74368     0 2112 22349 11  1 82  6  0	
 1  0  10360   6096    428 187444    0    0 74368     0 2104 22230 11  1 82  6  0	
 1  1  10360   6220    428 187732    0    0 72676     0 1846 24562 11  1 83  5  0	
 0  1  10360   6992    444 186324    0    0 49088  6156 1427 15696  7  1 84  8  0	
 0  0  10360   7140    456 186584    0    0   320    40  112  155  0  0 98  2  0	
 0  0  10360   7012    456 186584    0    0     0     0   87   87  0  0 100  0  0	
